204,48,日立,業務用エアコン,過負荷運転保護作動　冷媒過多、冷媒配管詰り、サイクル部品の異常などによる圧力上昇、 圧縮機異常（過負荷、ロック、過電流）,
205,51,日立,業務用エアコン,電流検出異常　過負荷運転（熱交換器詰目詰りなど）,
206,53,日立,業務用エアコン,トランジスタモジュール保護作動　インバータ異常（過負荷、過電流、回路異常、起動失敗）、 圧縮機異常,
207,54,日立,業務用エアコン,インバーターフィンサーミスタ異常保護作動　フィンサーミスタ異常・熱交換器詰り、送風機異常,
208,55,日立,業務用エアコン,インバータ不動作　インバータ基盤異常,
209,57,日立,業務用エアコン,ファンモータ異常　制御基盤からファンモータ連絡配線断線・誤配線、ファンモータ故障,
210,EE,日立,業務用エアコン,圧縮機保護アラーム　6時間以内に圧縮機要因のアラームが3回発生 ※『EE』アラ－ムは圧縮機焼損に至る可能性大の重要異常の為、リモコンスイッチからの リセットは出来ません,
211,E0,三菱電機,業務用エアコン,リモコン通信・受信異常,
212,E3,三菱電機,業務用エアコン,リモコン通信・送信異常,
213,E4,三菱電機,業務用エアコン,リモコン通信・受信異常,
214,E5,三菱電機,業務用エアコン,リモコン通信・送信異常,
215,E6,三菱電機,業務用エアコン,内外通信・受信異常,
216,E7,三菱電機,業務用エアコン,内外通信・送信異常,
217,E8,三菱電機,業務用エアコン,内外通信・受信異常,
218,E9,三菱電機,業務用エアコン,内外通信・送信異常,
219,EA,三菱電機,業務用エアコン,内外接続誤配線室内ユニット台数オーバー,
220,Eb,三菱電機,業務用エアコン,内外接続誤配線（テレコ、外れ）,
221,Ec,三菱電機,業務用エアコン,立上げ時間オーバー,
222,EE,三菱電機,業務用エアコン,組合せ異常,
223,EF,三菱電機,業務用エアコン,未定義エラー（M－NET系異常コード該当なし）,
224,Ed,三菱電機,業務用エアコン,M－NETアダプタ間通信異常シリアル通信異常,
225,EH,三菱電機,業務用エアコン,シリアル通信異常,
226,ED,三菱電機,業務用エアコン,送受信エラー,
227,E1,三菱電機,業務用エアコン,リモコンH／W異常,
228,E2,三菱電機,業務用エアコン,リモコンH／W異常,
229,F3,三菱電機,業務用エアコン,コネクタ（63L）オープン,
230,F4,三菱電機,業務用エアコン,コネクタ（49C、26C：温度開閉器）オープン,
231,F5,三菱電機,業務用エアコン,コネクタ（63L）オープン,
232,F6,三菱電機,業務用エアコン,コネクタ（63H2：圧力開閉器）オープン,
233,F7,三菱電機,業務用エアコン,逆相検知回路（基板）不良,
234,F8,三菱電機,業務用エアコン,入力回路（基板）不良,
235,F9,三菱電機,業務用エアコン,コネクタ2本以上オープン,
236,Fb,三菱電機,業務用エアコン,室内制御基板異常,
237,F1,三菱電機,業務用エアコン,逆相検知・電源と内外接続テレコ,
238,F2,三菱電機,業務用エアコン,欠相検知（T相が欠相の場合）,
239,P0,三菱電機,業務用エアコン,吸込みセンサ異常,
240,P3,三菱電機,業務用エアコン,配管（液管）センサ異常,
241,P4,三菱電機,業務用エアコン,ドレンセンサ異常フロートセンサコネクタ外れ,
242,P5,三菱電機,業務用エアコン,ドレンオーバーフロー保護漏水異常,
243,P6,三菱電機,業務用エアコン,凍結保護（冷房時）／過昇保護（暖房時）,
244,P7,三菱電機,業務用エアコン,システムエラー,
245,P8,三菱電機,業務用エアコン,配管温度異常室外ユニット異常,
246,P9,三菱電機,業務用エアコン,配管（二相管）センサ異常,
247,PA,三菱電機,業務用エアコン,漏水異常（配管テレコ＋ドレンセンサ異常またはドレンポンプ異常）,
248,Pb,三菱電機,業務用エアコン,室内ファンモータ異常,
249,PF,三菱電機,業務用エアコン,フィルター自動清掃”位置検知異常”または”ダストボックス外れの検出”,
250,PH,三菱電機,業務用エアコン,オゾン出力回路異常,
251,PJ,三菱電機,業務用エアコン,パルスクリーン異常,
252,PL,三菱電機,業務用エアコン,冷媒回路異常,
253,P1,三菱電機,業務用エアコン,吸込センサ異常,
254,P2,三菱電機,業務用エアコン,配管（液管）センサ異常,
255,U3,三菱電機,業務用エアコン,吐出サーミスタ（TH4）/シェルターミスタ（TH33）オープン/ショート放熱板サーモ作動過昇保護（BAHP） 63H1作動（ファインマルチ）,
256,U4,三菱電機,業務用エアコン,配管サーミスタ（TH3/TH32）オープン/ショート二相管サーミスタ（TH6）オープン/ ショート外気温サーミスタ（TH7）オープン/ショート放熱板サーミスタ（TH8）オープン/ ショート吸入管サーミスタ（TH33）オープン/ショート室外サーミスタ異常吐出温度異常（ファインマルチD） 63H2作動（ファインマルチC）,
257,U5,三菱電機,業務用エアコン,放熱板温度異常圧力センサ異常室内外通信異常（PUHZ－EK）感震器作動（BAHP） 26C1作動（ファインマルチC）,
258,U6,三菱電機,業務用エアコン,圧縮機過電流遮断（過負荷）パワーモジュール異常アドレス二重定義（ファインマルチD） 26C2作動（ファインマルチC）,
259,U7,三菱電機,業務用エアコン,低吐出スーパーヒート異常システムエラーバーナー異常（BAHP）システムエラー（ファインマルチ）,
260,U8,三菱電機,業務用エアコン,室外ファンモータ回転異常,
261,U9,三菱電機,業務用エアコン,電圧異常冷媒過充墳燃料不良（BAHP）保護入力誤結線（ファインマルチD） 吐出温度保護（ファインマルチC）,
262,UA,三菱電機,業務用エアコン,R相ヒューズ断,
263,Ub,三菱電機,業務用エアコン,T相ヒューズ断,
264,UE,三菱電機,業務用エアコン,高圧圧力異常（63H）,
265,UF,三菱電機,業務用エアコン,圧縮機過電流（ロック）,
266,Ud,三菱電機,業務用エアコン,過昇保護（過負荷運転保護/送風機異常）,
267,UH,三菱電機,業務用エアコン,電流センサ異常,
268,UL,三菱電機,業務用エアコン,低圧圧力異常,
269,UP,三菱電機,業務用エアコン,圧縮機過電流遮断,
270,UC,三菱電機,業務用エアコン,圧縮機自己保護機能作動,
271,U1,三菱電機,業務用エアコン,高圧圧力異常低圧圧力異常（Y200/250）51C1作動（ファインマルチ）,
272,U2,三菱電機,業務用エアコン,吐出温度異常／49C（インナーサーモ作動）冷媒不足異常シェルサーモ（26C） 作動過電流遮断（Y200/250）電源の欠相・逆相（BAHP）低圧保護（ファインマルチD） 51C2作動（ファインマルチC）,
273,E01,三菱重工,業務用エアコン,室内からリモコン通信回路不良、リモコン線異常,
274,E05,三菱重工,業務用エアコン,室内外機通信異常,
